source,context,hypothesis,vtype,n,estimate,lo,hi,p_holm,verdict
D1 SEQC2 ensemble,IL_T_1 strict native truth,H1,indel,814,0.8955773955773956,0.8726785363580684,0.914760145129944,3.078331980836407e-13,supported
D1 SEQC2 ensemble,IL_T_1 strict native truth,H2,indel,102,0.2352941176470588,0.1635209322711299,0.3262820182769975,3.8397150765134964e-08,supported
D1 SEQC2 ensemble,IL_T_1 strict native truth,H1,snv,28030,0.958687120941848,0.9562937841805114,0.9609547505153724,0.0,supported
D1 SEQC2 ensemble,IL_T_1 strict native truth,H2,snv,1292,0.0030959752321981,0.0012046028492181,0.0079334431209044,0.0,supported
D1 SEQC2 ensemble,NV_T_1 strict native truth,H1,indel,814,0.8648648648648649,0.8396585008928058,0.8866436370014169,1.6540858995183708e-06,supported
D1 SEQC2 ensemble,NV_T_1 strict native truth,H2,indel,102,0.3725490196078431,0.2849497607818803,0.4693998080005515,0.006460225955563,supported
D1 SEQC2 ensemble,NV_T_1 strict native truth,H1,snv,28030,0.9636817695326436,0.961427351185178,0.9658091118654872,0.0,supported
D1 SEQC2 ensemble,NV_T_1 strict native truth,H2,snv,1292,0.0023219814241486,0.0007899905644007,0.0068046567234322,0.0,supported
D1 SEQC2 ensemble,FD_T_1 strict native truth,H1,indel,814,0.9090909090909092,0.8873734236694447,0.9269653369998352,2.901953148376382e-17,supported
D1 SEQC2 ensemble,FD_T_1 strict native truth,H2,indel,102,0.1862745098039215,0.1226207969948211,0.2727012184696263,5.0791297894488576e-11,supported
D1 SEQC2 ensemble,FD_T_1 strict native truth,H1,snv,28030,0.9476632179807348,0.9449941757433205,0.9502095742266532,0.0,supported
D1 SEQC2 ensemble,FD_T_1 strict native truth,H2,snv,1292,0.001547987616099,0.0004246167336487,0.0056266318718947,0.0,supported
D1 SEQC2 ensemble,NS_T_1 strict native truth,H1,indel,814,0.8648648648648649,0.8396585008928058,0.8866436370014169,8.270429497591854e-07,supported
D1 SEQC2 ensemble,NS_T_1 strict native truth,H2,indel,102,0.2450980392156862,0.1718815549278306,0.3368175826370329,2.4519113385990644e-07,supported
D1 SEQC2 ensemble,NS_T_1 strict native truth,H1,snv,28030,0.8767392079914378,0.8728390653984068,0.8805361019336717,2.238972517639341e-253,supported
D1 SEQC2 ensemble,NS_T_1 strict native truth,H2,snv,1292,0.0,0.0,0.0029644512409644,0.0,supported
D1 SEQC2 ensemble,NS_380X strict native truth,H1,indel,814,0.6842751842751843,0.6515424576002814,0.7152768039624574,1.0,not supported
D1 SEQC2 ensemble,NS_380X strict native truth,H2,indel,102,0.392156862745098,0.302975181892627,0.4891667609232767,0.0556001511578408,not supported
